Hotel Name,Price (SAR),Rating,Reviews,Address,City,Check-in,Check-out,Search Area,Season_Type,Religious_Context,Latitude,Longitude,Stay_Duration,Price_Category
Four Points by Sheraton Makkah Al Naseem,268.0,4.2,13926.0,"Lat: 21.3803482, Lng: 39.874021299999995",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.3803482,39.8740213,5,Budget
فندق نوفوتيل ذاخر مكة,217.0,4.2,8265.0,"Lat: 21.445215500000003, Lng: 39.8343673",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.445215500000003,39.8343673,5,Budget
فندق ربا تايم,193.0,4.5,5076.0,"Lat: 21.4708984, Lng: 39.8434205",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4708984,39.8434205,5,Budget
هوليداي إن مكة العزيزية,227.0,4.0,10368.0,"Lat: 21.4163086, Lng: 39.860443",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4163086,39.860443,5,Budget
فندق كوبثورن مكة النسيم,279.0,4.2,1507.0,"Lat: 21.3808384, Lng: 39.8727707",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.3808384,39.8727707,5,Budget
فندق برج الهاشمية,63.0,3.8,360.0,"Lat: 21.4094637, Lng: 39.802396699999996",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4094637,39.8023967,5,Budget
Blue Coral Hotel,197.0,3.9,386.0,"Lat: 21.4250708, Lng: 39.791454099999996",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4250708,39.7914541,5,Budget
فندق فيوليت الششه,146.0,4.0,4343.0,"Lat: 21.4348187, Lng: 39.8499244",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4348187,39.8499244,5,Budget
فندق ميلينيوم مكة النسيم,275.0,4.3,13238.0,"Lat: 21.380888499999998, Lng: 39.8720317",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.3808885,39.8720317,5,Budget
فندق أبراج الكسوة,354.0,3.9,18184.0,"Lat: 21.4291537, Lng: 39.8133742",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4291537,39.8133742,5,Mid-Range
ماريوت كورت يارد,436.0,4.4,1206.0,"Lat: 21.4041529, Lng: 39.8304166",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand,21.4041529,39.8304166,5,Mid-Range
