Hotel Name,Price (SAR),Rating,Reviews,Address,Check-in,Check-out,Search Area,Religious_Context,Latitude,Longitude,Stay_Duration,City_Madinah,City_Makkah,City_Taif,Season_Type_Hajj Peak,Season_Type_Pre-Hajj,Season_Type_Ramadan Season,Season_Type_Regular Umrah,Price_Category_Budget,Price_Category_Mid-Range,Price_Category_Premium,Price_Category_Luxury
فندق ميلينيوم مكة النسيم,0.25212532930400805,0.43115032207779774,1.0127847033175656,"Lat: 21.380888499999998, Lng: 39.8720317",2026-03-10,2026-03-15,Hotels in Makkah,High spiritual tourism season during Ramadan,21.3808885,39.8720317,0.0,False,True,False,False,False,True,False,False,False,True,False
أبراج مريديان مكة,0.6975320125211549,0.21141931320954838,0.9981068917186544,"Lat: 21.4027954, Lng: 39.826543199999996",2026-03-10,2026-03-15,Hotels in Makkah,High spiritual tourism season during Ramadan,21.4027954,39.8265432,0.0,False,True,False,False,False,True,False,False,False,False,True
فندق أبراج الكسوة,0.2645668567681742,-0.4477737133952027,1.5126457316582633,"Lat: 21.4291537, Lng: 39.8133742",2026-03-10,2026-03-15,Hotels in Makkah,High spiritual tourism season during Ramadan,21.4291537,39.8133742,0.0,False,True,False,False,False,True,False,False,False,True,False
فندق سويتس المقام - Suites Almaqam Hotel,0.10904776346609776,0.21141931320954838,-0.18722832414063906,"Lat: 21.4198247, Lng: 39.8649596",2026-03-10,2026-03-15,Hotels in Makkah,High spiritual tourism season during Ramadan,21.4198247,39.8649596,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق جنى البيت jana albait hotel,-0.057046628180519844,0.21141931320954838,-0.34807267624537425,"Lat: 21.372635199999998, Lng: 39.877237099999995",2026-03-10,2026-03-15,Hotels in Makkah,High spiritual tourism season during Ramadan,21.3726352,39.8772371,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق لؤلؤة الريان الفندقية,-0.05580247543410324,-0.22804270452695236,-0.35102862441459937,"Lat: 21.4302, Lng: 39.8523735",2026-03-10,2026-03-15,Hotels in Makkah,High spiritual tourism season during Ramadan,21.4302,39.8523735,0.0,False,True,False,False,False,True,False,False,True,False,False
Four Points by Sheraton Makkah Al Naseem,0.20982413592584329,0.21141931320954838,1.0761846950850849,"Lat: 21.3803482, Lng: 39.874021299999995",2026-03-10,2026-03-15,Hotels in Makkah,High spiritual tourism season during Ramadan,21.3803482,39.8740213,0.0,False,True,False,False,False,True,False,False,False,True,False
فندق فيوليت,0.13393081839443,0.43115032207779774,0.9597814947659418,"Lat: 21.4181556, Lng: 39.8535654",2026-03-10,2026-03-15,Hotels in Makkah,High spiritual tourism season during Ramadan,21.4181556,39.8535654,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق ذوق الخيال,-0.09374913419980987,-0.4477737133952027,-0.3174939020809759,"Lat: 21.4125479, Lng: 39.86540300000001",2026-03-10,2026-03-15,Hotels in Makkah,High spiritual tourism season during Ramadan,21.4125479,39.86540300000001,0.0,False,True,False,False,False,True,False,False,True,False,False
هوليداي إن مكة العزيزية,0.04808427889168381,-0.22804270452695236,0.7265673771387973,"Lat: 21.4163086, Lng: 39.860443",2026-03-10,2026-03-15,Hotels in Makkah,High spiritual tourism season during Ramadan,21.4163086,39.860443,0.0,False,True,False,False,False,True,False,False,True,False,False
